#-----------------------------------------------------------------------------
#  atom_bonds.dat
#  --------------
#
#  Format:  Reside Atom1 Atom2 Bond-order Bond-type
#
#  NB. In Hex 2.1, the bond type is *ignored* (but still necessary): instead
#      the equivalent function is set using the "atom type" in the file
#     "atom_types.dat".
#
#-----------------------------------------------------------------------------
#
#  Author:     Dave Ritchie, 08/01/99
#
#  Copyright (C) 1999-2003 D.W. Ritchie, University of Aberdeen.
#
#  Explicit permission is hereby granted to Universities and British
#  Government supported Research Institutions to copy and modify this software
#  for educational and research purposes, provided copies include this notice;
#  these copies may not be distributed to any other institutions without
#  express permission from the author and the University of Aberdeen. Requests 
#  to use this software (or modified copies therof) in any other way should be 
#  sent to D.W. Ritchie, Department of Computing Science: 
#  "dritchie@csd.abdn.ac.uk".
#
#-----------------------------------------------------------------------------

GLY  N    CA    1  b
GLY  CA   C     1  b
GLY  CA   HA1   1  s
GLY  CA   HA2   1  s
GLY  N    H     1  s
GLY  N    H1    1  s  # H1-H3 only for N-terminus 
GLY  N    H2    1  s
GLY  N    H3    1  s
GLY  C    O     2  s
GLY  C    OXT   2  s

ALA  N    CA    1  b
ALA  CA   C     1  b
ALA  CA   HA    1  s
ALA  N    H     1  s
ALA  N    H1    1  s
ALA  N    H2    1  s
ALA  N    H3    1  s
ALA  C    O     2  s
ALA  C    OXT   2  s
ALA  CA   CB    1  s
ALA  CB   HB1   1  s
ALA  CB   HB2   1  s
ALA  CB   HB3   1  s

VAL  N    CA    1  b
VAL  CA   C     1  b
VAL  CA   HA    1  s
VAL  N    H     1  s
VAL  N    H1    1  s
VAL  N    H2    1  s
VAL  N    H3    1  s
VAL  C    O     2  s
VAL  C    OXT   2  s
VAL  CA   CB    1  s
VAL  CB   HB    1  s
VAL  CB   CG1   1  s
VAL  CG1  HG11  1  s
VAL  CG1  HG12  1  s
VAL  CG1  HG13  1  s
VAL  CB   CG2   1  s
VAL  CG2  HG21  1  s
VAL  CG2  HG22  1  s
VAL  CG2  HG23  1  s

PRO  N    CA    1  b
PRO  CA   C     1  b
PRO  CA   HA    1  s
PRO  N    H     1  s  /# terminal H ? #
PRO  C    O     2  s
PRO  C    OXT   2  s
PRO  CA   CB    1  s
PRO  CB   HB1   1  s
PRO  CB   HB2   1  s
PRO  CB   CG    1  s
PRO  CG   HG1   1  s
PRO  CG   HG2   1  s
PRO  CG   CD    1  s
PRO  CD   HD1   1  s
PRO  CD   HD2   1  s
PRO  CD   N     1  s

SER  N    CA    1  b
SER  CA   C     1  b
SER  CA   HA    1  s
SER  N    H     1  s
SER  N    H1    1  s
SER  N    H2    1  s
SER  N    H3    1  s
SER  C    O     2  s
SER  C    OXT   2  s
SER  CA   CB    1  s
SER  CB   HB1   1  s
SER  CB   HB2   1  s
SER  CB   OG    1  s
SER  OG   HG    1  s

CYS  N    CA    1  b
CYS  CA   C     1  b
CYS  CA   HA    1  s
CYS  N    H     1  s
CYS  N    H1    1  s
CYS  N    H2    1  s
CYS  N    H3    1  s
CYS  C    O     2  s
CYS  C    OXT   2  s
CYS  CA   CB    1  s
CYS  CB   HB1   1  s
CYS  CB   HB2   1  s
CYS  CB   SG    1  s
CYS  SG   LP1   0  s
CYS  SG   LP2   0  s
CYS  SG   HG    1  s

CYX  N    CA    1  b
CYX  CA   C     1  b
CYX  CA   HA    1  s
CYX  N    H     1  s
CYX  N    H1    1  s
CYX  N    H2    1  s
CYX  N    H3    1  s
CYX  C    O     2  s
CYX  C    OXT   2  s
CYX  CA   CB    1  s
CYX  CB   HB1   1  s
CYX  CB   HB2   1  s
CYX  CB   SG    1  s
CYX  SG   LP1   0  s
CYX  SG   LP2   0  s
CYX  SG   HG    1  s

THR  N    CA    1  b
THR  CA   C     1  b
THR  CA   HA    1  s
THR  N    H     1  s
THR  N    H1    1  s
THR  N    H2    1  s
THR  N    H3    1  s
THR  C    O     2  s
THR  C    OXT   2  s
THR  CA   CB    1  s
THR  CB   HB    1  s
THR  CB   OG1   1  s
THR  OG1  HG1   1  s
THR  CB   CG2   1  s
THR  CG2  HG21  1  s
THR  CG2  HG22  1  s
THR  CG2  HG23  1  s

ILE  N    CA    1  b
ILE  CA   C     1  b
ILE  CA   HA    1  s
ILE  N    H     1  s
ILE  N    H1    1  s
ILE  N    H2    1  s
ILE  N    H3    1  s
ILE  C    O     2  s
ILE  C    OXT   2  s
ILE  CA   CB    1  s
ILE  CB   HB    1  s
ILE  CB   CG1   1  s
ILE  CB   CG2   1  s
ILE  CG1  HG11  1  s
ILE  CG1  HG12  1  s
ILE  CG2  HG21  1  s
ILE  CG2  HG22  1  s
ILE  CG2  HG23  1  s
ILE  CG1  CD1   1  s
ILE  CD1  HD11  1  s
ILE  CD1  HD12  1  s
ILE  CD1  HD13  1  s

LEU  N    CA    1  b
LEU  CA   C     1  b
LEU  CA   HA    1  s
LEU  N    H     1  s
LEU  N    H1    1  s
LEU  N    H2    1  s
LEU  N    H3    1  s
LEU  C    O     2  s
LEU  C    OXT   2  s
LEU  CA   CB    1  s
LEU  CB   HB1   1  s
LEU  CB   HB2   1  s
LEU  CB   CG    1  s
LEU  CG   HG    1  s
LEU  CG   CD1   1  s
LEU  CG   CD2   1  s
LEU  CD1  HD11  1  s
LEU  CD1  HD12  1  s
LEU  CD1  HD13  1  s
LEU  CD2  HD21  1  s
LEU  CD2  HD22  1  s
LEU  CD2  HD23  1  s

ASP  N    CA    1  b
ASP  CA   C     1  b
ASP  CA   HA    1  s
ASP  N    H     1  s
ASP  N    H1    1  s
ASP  N    H2    1  s
ASP  N    H3    1  s
ASP  C    O     2  s
ASP  C    OXT   2  s
ASP  CA   CB    1  s
ASP  CB   HB1   1  s
ASP  CB   HB2   1  s
ASP  CB   CG    1  s
ASP  CG   OD1   1  s
ASP  CG   OD2   1  s

DOH  N    CA    1  b
DOH  CA   C     1  b
DOH  CA   HA    1  s
DOH  N    H     1  s
DOH  N    H1    1  s
DOH  N    H2    1  s
DOH  N    H3    1  s
